SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,FuxiMinPressure,FuxiMinLat,FuxiMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2024220N25141,2024,39,MARIA,2024-08-13,41.7,138.9, ,997.7379150390625,40.75,138.5,1004.7150268554688,41.5,139.0
2024226N27150,2024,43,WUKONG,2024-08-13,26.9,150.2, ,1001.738525390625,26.75,148.25,1006.8900146484375,27.0,150.0
